"job_title","company_name","source","id","timestamp","timezone"
"Accounting Asset and Tax Senior Officer","Indonesia International Institute For Life Sciences","Glints Native","39e824fc-d2c5-4980-88f4-03334435ee52","2022-06-13 21:11:15","Asia/Jakarta"
"PROCUREMENT OFFICER","PT Indonesia Defence Services","Glints Native","a9e035d6-0fa0-4aac-94ac-529df7d8b6b6","2022-06-13 21:11:15","Asia/Jakarta"
"Senior Accountant","Pt. Golden Cakrawala Prima","Glints Native","75ad8c94-c052-49d3-bd49-9739f4949998","2022-06-13 21:11:15","Asia/Jakarta"
"Risk & Compliance Manager","Dompet Kilat","Glints Native","dc4a2187-7659-417f-9ea0-345eb51e2dee","2022-06-13 21:11:15","Asia/Jakarta"
"Tax Manager","Gtech Group","Glints Native","87743ac8-2acb-49f3-b397-cd40abaf779d","2022-06-13 21:11:15","Asia/Jakarta"
"Internal Auditor","PT Metranet","Glints Native","14931592-b283-416f-95f2-14759f5d191e","2022-06-13 21:11:15","Asia/Jakarta"
"Information Security Auditor","Pt Solubis Sukses Gemilang","Glints Native","577a2a06-654c-4e20-a62b-6ee2583748e7","2022-06-13 21:11:15","Asia/Jakarta"
"General Manager Tax","Confidential Company Talenthunt 2-002","Glints Native","0afde51e-8f2f-4846-be0b-65ef1d6fc293","2022-06-13 21:11:15","Asia/Jakarta"
"Junior Internal Auditor","Jakmall.com","Glints Native","7ac89d5b-a005-4426-8628-bebfbfa55392","2022-06-13 21:11:15","Asia/Jakarta"
"Accounting Tax","Panorama Jtb Tours Indonesia","Glints Native","6c973e2d-47c4-4142-90e1-56b8ba6a6007","2022-06-13 21:11:15","Asia/Jakarta"
"Tax Supervisor","Intan Utama Logistic","Glints Native","ffc752da-e1f0-4b8e-b4f7-acbb7ec946c5","2022-06-13 21:11:15","Asia/Jakarta"
"Legal","Bagus Group","Glints Native","c923acdd-3b80-463b-802a-e7d5ba90feb2","2022-06-13 21:11:15","Asia/Jakarta"
"Tax Staff","PT Paragon Pratama Teknologi (StickEarn)","Glints Native","b75ce00e-ed62-4d99-ae47-133e94a092de","2022-06-13 21:11:15","Asia/Jakarta"
"Tax Specialist","PT Autopedia Sukses Lestari Tbk.","Glints Native","8b26fb6a-1fa4-4c91-975e-ad7d4807d2a1","2022-06-13 21:11:15","Asia/Jakarta"
"Accounting Staff","Zeals Asia","Glints Native","52921cbe-5a96-46ad-adcc-5009bc2c38c4","2022-06-13 21:11:15","Asia/Jakarta"
"Finance, Accounting & Tax","PT Stampindo Lancar Jaya","Glints Native","dd193106-a489-43fb-a13a-749d18c7cb25","2022-06-13 21:11:15","Asia/Jakarta"
"Accounting Tax","Pt. Nidec Mobility Indonesia","Glints Native","d8cdd9e6-a551-4405-868b-3033964d21ef","2022-06-13 21:11:15","Asia/Jakarta"
"Tax Consultant","Focus Data Consulting","Jobstreet","3902707","2022-06-13 21:42:20","Asia/Jakarta"
"Senior Associate Accounting Services","PT Solusi Bisnis Batavia","Jobstreet","3908111","2022-06-13 21:42:20","Asia/Jakarta"
"Security Operation Center Manager","PT Juke Solusi Teknologi","Jobstreet","3907326","2022-06-13 21:42:20","Asia/Jakarta"
"IT AUDITOR","PT Mega Central Finance","Jobstreet","3897065","2022-06-13 21:42:20","Asia/Jakarta"
"Internal Audit","PT Phillip Sekuritas Indonesia","Jobstreet","3902533","2022-06-13 21:42:20","Asia/Jakarta"
"Internal Audit","PT Arifindo Artha Agung","Jobstreet","3896425","2022-06-13 21:42:20","Asia/Jakarta"
"IT ASSET MANAGEMENT & ACTIVE DIRECTORY SPECIALIST","PT Yamaha Indonesia Motor Mfg","Jobstreet","3912444","2022-06-13 21:56:24","Asia/Jakarta"
"KYC Supervisor","PT AXA Mandiri Financial Service","Jobstreet","3914047","2022-06-13 21:56:24","Asia/Jakarta"
"Finance Accounting and Tax Manager","PT Hanatekindo Mulia Abadi","Jobstreet","3913376","2022-06-13 21:56:24","Asia/Jakarta"
"Branch Control (Internal Audit)","PT Central Mega Kencana","Jobstreet","3917468","2022-06-13 21:56:24","Asia/Jakarta"
"Senior Tax Accounting","PT DS Solutions International","Jobstreet","3908466","2022-06-13 21:56:24","Asia/Jakarta"
"COMPLIANCE & FINANCIAL CRIME (E-Payment, FinTech, PaymentGateway)","PT AsiaPay Technology Indonesia","Jobstreet","3908724","2022-06-13 21:56:24","Asia/Jakarta"
"IT Compliance Staff","","Jobstreet","3898306","2022-06-13 21:56:24","Asia/Jakarta"
"Audit Development & Quality Assurance Officer","PT Kirana Megatara, Tbk (Triputra Group)","Jobstreet","3900660","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Coordinator Hospital","Ciputra Group","Jobstreet","3885647","2022-06-13 21:56:24","Asia/Jakarta"
"Tax Manager","Suryani Suyanto & Associates","Jobstreet","3897848","2022-06-13 21:56:24","Asia/Jakarta"
"Deputy Head of Internal Audit","PT RHB Sekuritas Indonesia","Jobstreet","3904575","2022-06-13 21:56:24","Asia/Jakarta"
"System Administrator","PT Infinitium Solutions","Jobstreet","3885834","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Staff","PT Bali Towerindo Sentra Tbk","Jobstreet","3900673","2022-06-13 21:56:24","Asia/Jakarta"
"IT Governance & Compliance Supervisor","PT Tunas Ridean Tbk","Jobstreet","3909043","2022-06-13 21:56:24","Asia/Jakarta"
"Head Internal Audit","PT GTS International","Jobstreet","3913343","2022-06-13 21:56:24","Asia/Jakarta"
"Senior Associate","Harsono Strategic Consulting","Jobstreet","3918161","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Manager","Mega Insurance","Jobstreet","3912216","2022-06-13 21:56:24","Asia/Jakarta"
"Accounting & Tax Assistant Manager","PT Asasta Puja Gancar","Jobstreet","3889974","2022-06-13 21:56:24","Asia/Jakarta"
"Branch Control (Internal Audit)","PT Central Mega Kencana","Jobstreet","3895871","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Manager","PT Tunas Ridean Tbk","Jobstreet","3900741","2022-06-13 21:56:24","Asia/Jakarta"
"IT Strategic and Governance","PT Lawencon Internasional","Jobstreet","3919238","2022-06-15 07:14:28","Asia/Jakarta"
"Internal Audit Staff","PT Impack Pratama Industri Tbk","Jobstreet","3921524","2022-06-15 11:56:26","UTC"
"Internal Audit Staff","MAXI GROUP","Jobstreet","3921871","2022-06-16 11:48:01","UTC"
"Internal Control (IC) - JABODETABEK","PT Maybank Indonesia Finance","Jobstreet","3922697","2022-06-16 11:48:01","UTC"
"Regulatory Compliance Analyst","PT AXA Mandiri Financial Service","Jobstreet","3922091","2022-06-16 11:48:01","UTC"
"Branch SOP Officer","PT Bank JTrust Indonesia, Tbk","Jobstreet","3923108","2022-06-16 11:48:01","UTC"
"IT Compliance Audit Specialist","PT Sentra Usahatama Jaya","Jobstreet","3923937","2022-06-17 11:54:50","UTC"
"Risk & Compliance","PT Fintegra Homido Indonesia","Jobstreet","3927396","2022-06-21 11:55:01","UTC"
"Business Process - Audit Specialist","PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant)","Jobstreet","3929353","2022-06-22 23:49:53","UTC"
"Finance Officer","Sosplan Creative","Jobstreet","3929433","2022-06-22 23:49:53","UTC"
"Finance Officer","Sosplan Creative","Jobstreet","3929433","2022-06-22 23:49:53","UTC"
"Governance Risk & Compliance VP - Financial Industry (B - 78058)","RGF HR Agent Indonesia","Jobstreet","3930807","2022-06-23 23:55:19","UTC"
